,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
0,2.0,1500,27,1500,4,1500.0,1,0,0,0,0,0,0,0,13.84873738206249,1,0,0,1,0,0,0,0,0,0
1,5.0,29200,27,5000,28,7073.607142857143,1,1,1,0,0,0,1,1,17.02286676609406,0,0,1,0,0,1,0,0,0,0
2,150.0,37500,27,5001,6,15834.0,0,0,0,0,0,0,0,0,15.110760328703886,0,0,1,1,0,0,0,0,0,0
3,500.0,25000,57,10000,4,15000.0,0,0,0,0,0,0,0,0,15.353028103690065,0,0,1,1,0,0,0,0,0,0
4,1000.0,50000,57,2500,15,8512.866666666667,0,0,0,0,1,0,0,0,15.249499006590503,0,0,1,1,0,0,0,0,0,0
5,1000.0,2900,57,300,11,856.3636363636364,0,0,1,1,1,0,0,0,15.261471906044086,0,1,0,1,0,0,0,0,0,0
6,1500.0,3000,57,3000,10,1071.7,1,1,1,0,0,0,0,0,15.309421338277112,1,0,0,0,0,0,0,0,1,0
7,25.0,3000,57,15,18,825.9444444444445,0,0,1,0,0,0,0,0,15.300437981086306,0,0,1,1,0,0,0,0,0,0
8,100.0,5800,14,250,4,2012.5,0,0,0,0,0,0,0,0,14.60157733588924,1,0,0,1,0,0,0,0,0,0
9,100.0,1000,46,100,9,393.8888888888889,0,0,0,0,0,0,0,0,14.819944759103043,1,0,0,1,0,0,0,0,0,0
10,275.0,1000,303,1000,2,1000.0,0,0,0,0,0,0,0,0,14.59485470063473,1,0,0,1,0,0,0,0,0,0
11,5.0,2700,303,5,20,278.75,0,0,0,0,0,0,0,0,15.106583660326246,1,0,0,0,0,1,0,0,0,0
12,10.0,2500,303,2500,12,241.33333333333334,0,0,0,1,1,0,0,0,14.745469848023683,0,0,1,1,0,0,0,0,0,0
13,10.0,1000,54,300,9,410.6666666666667,0,0,0,1,0,0,0,0,14.058586924178321,0,0,1,1,0,0,0,0,0,0
14,10.0,575,87,575,1,575.0,0,0,0,0,0,0,0,0,14.115383271680965,1,0,0,1,0,0,0,0,0,0
15,25.0,2615,87,2615,10,631.6,0,0,0,0,0,1,0,0,14.675838584383614,1,0,0,1,0,0,0,0,0,0
16,35.0,1000,87,1000,8,478.0,0,0,0,0,1,0,0,0,15.082484358291557,0,0,1,1,0,0,0,0,0,0
17,50.0,1000,44,250,3,458.3333333333333,0,0,0,0,0,0,0,0,14.106649897176098,1,0,0,1,0,0,0,0,0,0
18,100.0,2014,44,250,13,566.4615384615385,0,0,1,1,0,1,1,1,15.120110201760468,0,0,1,1,0,0,0,0,0,0
19,100.0,2700,9,2700,4,1300.0,0,0,0,0,0,0,0,0,14.359052711544807,0,1,0,0,0,0,0,0,1,0
20,100.0,1000,42,1000,6,833.3333333333334,0,0,0,0,0,0,0,0,14.485445404780313,0,1,0,1,0,0,0,0,0,0
21,180.0,500,42,500,2,340.0,0,1,0,0,0,0,0,0,14.153883130659715,0,0,1,1,0,0,0,0,0,0
